🇬🇱,GL,グリーンランド
🇮🇸,IS,アイスランド
🇮🇪,IE,アイルランド
🇦🇿,AZ,アゼルバイジャン
🇦🇫,AF,アフガニスタン
🇺🇸,US,アメリカ合衆国
🇦🇪,AE,アラブ首長国連邦
🇩🇿,DZ,アルジェリア
🇦🇷,AR,アルゼンチン
🇦🇱,AL,アルバニア
🇦🇲,AM,アルメニア
🇦🇴,AO,アンゴラ
🇦🇬,AG,#アンティグア・バーブーダ
🇦🇩,AD,#アンドラ
🇾🇪,YE,イエメン
🇬🇧,GB,イギリス
🇮🇱,IL,イスラエル
🇮🇹,IT,イタリア
🇮🇶,IQ,イラク
🇮🇷,IR,イラン
🇮🇳,IN,インド
🇮🇩,ID,インドネシア
🇺🇬,UG,ウガンダ
🇺🇦,UA,ウクライナ
🇺🇿,UZ,ウズベキスタン
🇺🇾,UY,ウルグアイ
🇪🇨,EC,エクアドル
🇪🇬,EG,エジプト
🇪🇪,EE,エストニア
🇸🇿,SZ,#エスワティニ
🇪🇹,ET,エチオピア
🇪🇷,ER,エリトリア
🇸🇻,SV,エルサルバドル
🇦🇺,AU,オーストラリア
🇦🇹,AT,オーストリア
🇴🇲,OM,オマーン
🇳🇱,NL,オランダ
🇬🇭,GH,ガーナ
🇨🇻,CV,#カーボベルデ
🇬🇾,GY,ガイアナ
🇰🇿,KZ,カザフスタン
🇶🇦,QA,#カタール
🇨🇦,CA,カナダ
🇬🇦,GA,ガボン
🇨🇲,CM,カメルーン
🇰🇷,KR,韓国
🇬🇲,GM,#ガンビア
🇰🇭,KH,カンボジア
🇰🇵,KP,北朝鮮
🇲🇰,MK,北マケドニア
🇬🇳,GN,ギニア
🇬🇼,GW,ギニアビサウ
🇨🇾,CY,#キプロス
🇨🇺,CU,キューバ
🇬🇷,GR,ギリシャ
🇰🇮,KI,#キリバス
🇰🇬,KG,キルギス
🇬🇹,GT,グアテマラ
🇰🇼,KW,#クウェート
🇨🇰,CK,#クック諸島
🇬🇩,GD,#グレナダ
🇭🇷,HR,クロアチア
🇰🇪,KE,ケニア
🇨🇮,CI,コートジボワール
🇨🇷,CR,コスタリカ
🇰🇲,KM,#コモロ
🇨🇴,CO,コロンビア
🇨🇬,CG,コンゴ共和国
🇨🇩,CD,コンゴ民主共和国
🇸🇦,SA,サウジアラビア
🇼🇸,WS,#サモア
🇸🇹,ST,#サントメ・プリンシペ
🇿🇲,ZM,ザンビア
🇸🇲,SM,#サンマリノ
🇸🇱,SL,シエラレオネ
🇩🇯,DJ,ジブチ
🇯🇲,JM,#ジャマイカ
🇬🇪,GE,ジョージア
🇸🇾,SY,シリア
🇸🇬,SG,#シンガポール
🇿🇼,ZW,ジンバブエ
🇨🇭,CH,スイス
🇸🇪,SE,スウェーデン
🇸🇩,SD,スーダン
🇪🇸,ES,スペイン
🇸🇷,SR,スリナム
🇱🇰,LK,スリランカ
🇸🇰,SK,スロバキア
🇸🇮,SI,スロベニア
🇸🇨,SC,#セーシェル
🇬🇶,GQ,ギニア
🇸🇳,SN,セネガル
🇷🇸,RS,セルビア
🇰🇳,KN,#セントクリストファー・ネイビス
🇻🇨,VC,#セントビンセント・グレナディーン
🇱🇨,LC,#セントルシア
🇸🇴,SO,ソマリア
🇸🇧,SB,ソロモン諸島
🇹🇭,TH,タイ
🇹🇯,TJ,タジキスタン
🇹🇿,TZ,タンザニア
🇨🇿,CZ,チェコ
🇹🇩,TD,チャド
🇨🇫,CF,中央アフリカ共和国
🇨🇳,CN,中国
🇹🇼,TW,台湾
🇹🇳,TN,チュニジア
🇨🇱,CL,チリ
🇹🇻,TV,#ツバル
🇩🇰,DK,デンマーク
🇩🇪,DE,ドイツ
🇹🇬,TG,トーゴ
🇩🇴,DO,ドミニカ共和国
🇩🇲,DM,#ドミニカ国
🇹🇹,TT,#トリニダード・トバゴ
🇹🇲,TM,トルクメニスタン
🇹🇷,TR,トルコ
🇹🇴,TO,#トンガ
🇳🇬,NG,ナイジェリア
🇳🇷,NR,#ナウル
🇳🇦,NA,ナミビア
🇳🇺,NU,#ニウエ
🇳🇮,NI,ニカラグア
🇳🇪,NE,ニジェール
🇪🇭,EH,西サハラ
🇯🇵,JP,日本
🇳🇿,NZ,ニュージーランド
🇳🇵,NP,ネパール
🇳🇴,NO,ノルウェー
🇧🇭,BH,#バーレーン
🇭🇹,HT,ハイチ
🇵🇰,PK,パキスタン
🇻🇦,VA,#バチカン
🇵🇦,PA,パナマ
🇻🇺,VU,#バヌアツ
🇧🇸,BS,#バハマ
🇵🇬,PG,パプアニューギニア
🇵🇼,PW,#パラオ
🇵🇾,PY,パラグアイ
🇧🇧,BB,#バルバドス
🇵🇸,PS,#パレスチナ
🇭🇺,HU,ハンガリー
🇧🇩,BD,バングラデシュ
🇹🇱,TL,#東ティモール
🇫🇯,FJ,#フィジー
🇵🇭,PH,フィリピン
🇫🇮,FI,フィンランド
🇧🇹,BT,ブータン
🇧🇷,BR,ブラジル
🇫🇷,FR,フランス
🇧🇬,BG,ブルガリア
🇧🇫,BF,ブルキナファソ
🇧🇳,BN,#ブルネイ
🇧🇮,BI,ブルンジ
🇻🇳,VN,ベトナム
🇧🇯,BJ,ベナン
🇻🇪,VE,ベネズエラ
🇧🇾,BY,ベラルーシ
🇧🇿,BZ,ベリーズ
🇵🇪,PE,ペルー
🇧🇪,BE,ベルギー
🇵🇱,PL,ポーランド
🇧🇦,BA,ボスニア・ヘルツェゴビナ
🇧🇼,BW,ボツワナ
🇧🇴,BO,ボリビア
🇵🇹,PT,ポルトガル
🇭🇳,HN,ホンジュラス
🇲🇭,MH,#マーシャル諸島
🇲🇬,MG,マダガスカル
🇲🇼,MW,マラウイ
🇲🇱,ML,マリ
🇲🇹,MT,#マルタ
🇲🇾,MY,マレーシア
🇫🇲,FM,#ミクロネシア連邦
🇿🇦,ZA,南アフリカ共和国
🇸🇸,SS,南スーダン
🇲🇲,MM,ミャンマー
🇲🇽,MX,メキシコ
🇲🇺,MU,#モーリシャス
🇲🇷,MR,モーリタニア
🇲🇿,MZ,モザンビーク
🇲🇨,MC,#モナコ
🇲🇻,MV,#モルディブ
🇲🇩,MD,モルドバ
🇲🇦,MA,モロッコ
🇲🇳,MN,モンゴル
🇲🇪,ME,#モンテネグロ
🇯🇴,JO,ヨルダン
🇱🇦,LA,ラオス
🇱🇻,LV,ラトビア
🇱🇹,LT,リトアニア
🇱🇾,LY,リビア
🇱🇮,LI,#リヒテンシュタイン
🇱🇷,LR,リベリア
🇷🇴,RO,ルーマニア
🇱🇺,LU,#ルクセンブルク
🇷🇼,RW,ルワンダ
🇱🇸,LS,レソト
🇱🇧,LB,#レバノン
🇷🇺,RU,ロシア