🇬🇱,GL,グリーンランド,America
🇮🇸,IS,アイスランド,Europe
🇮🇪,IE,アイルランド,Europe
🇦🇿,AZ,アゼルバイジャン,Asia
🇦🇫,AF,アフガニスタン,Asia
🇺🇸,US,アメリカ合衆国,America
🇦🇪,AE,アラブ首長国連邦,Asia
🇩🇿,DZ,アルジェリア,Africa
🇦🇷,AR,アルゼンチン,America
🇦🇱,AL,アルバニア,Europe
🇦🇲,AM,アルメニア,Asia
🇦🇴,AO,アンゴラ,Africa
🇦🇬,AG,#アンティグア・バーブーダ,America
🇦🇩,AD,#アンドラ,Europe
🇾🇪,YE,イエメン,Asia
🇬🇧,GB,イギリス,Europe
🇮🇱,IL,イスラエル,Asia
🇮🇹,IT,イタリア,Europe
🇮🇶,IQ,イラク,Asia
🇮🇷,IR,イラン,Asia
🇮🇳,IN,インド,Asia
🇮🇩,ID,インドネシア,Asia
🇺🇬,UG,ウガンダ,Africa
🇺🇦,UA,ウクライナ,Europe
🇺🇿,UZ,ウズベキスタン,Asia
🇺🇾,UY,ウルグアイ,America
🇪🇨,EC,エクアドル,America
🇪🇬,EG,エジプト,Africa
🇪🇪,EE,エストニア,Europe
🇸🇿,SZ,#エスワティニ,Africa
🇪🇹,ET,エチオピア,Africa
🇪🇷,ER,エリトリア,Africa
🇸🇻,SV,エルサルバドル,America
🇦🇺,AU,オーストラリア,Oceania
🇦🇹,AT,オーストリア,Europe
🇴🇲,OM,オマーン,Asia
🇳🇱,NL,オランダ,Europe
🇬🇭,GH,ガーナ,Africa
🇨🇻,CV,#カーボベルデ,Africa
🇬🇾,GY,ガイアナ,America
🇰🇿,KZ,カザフスタン,Asia
🇶🇦,QA,#カタール,Asia
🇨🇦,CA,カナダ,America
🇬🇦,GA,ガボン,Africa
🇨🇲,CM,カメルーン,Africa
🇰🇷,KR,韓国,Asia
🇬🇲,GM,#ガンビア,Africa
🇰🇭,KH,カンボジア,Asia
🇰🇵,KP,北朝鮮,Asia
🇲🇰,MK,北マケドニア,Europe
🇬🇳,GN,ギニア,Africa
🇬🇼,GW,ギニアビサウ,Africa
🇨🇾,CY,#キプロス,Asia
🇨🇺,CU,キューバ,America
🇬🇷,GR,ギリシャ,Europe
🇰🇮,KI,#キリバス,Oceania
🇰🇬,KG,キルギス,Asia
🇬🇹,GT,グアテマラ,America
🇰🇼,KW,#クウェート,Asia
🇨🇰,CK,#クック諸島,Oceania
🇬🇩,GD,#グレナダ,America
🇭🇷,HR,クロアチア,Europe
🇰🇪,KE,ケニア,Africa
🇨🇮,CI,コートジボワール,Africa
🇨🇷,CR,コスタリカ,America
🇰🇲,KM,#コモロ,Africa
🇨🇴,CO,コロンビア,America
🇨🇬,CG,コンゴ共和国,Africa
🇨🇩,CD,コンゴ民主共和国,Africa
🇸🇦,SA,サウジアラビア,Asia
🇼🇸,WS,#サモア,Oceania
🇸🇹,ST,#サントメ・プリンシペ,Africa
🇿🇲,ZM,ザンビア,Africa
🇸🇲,SM,#サンマリノ,Europe
🇸🇱,SL,シエラレオネ,Africa
🇩🇯,DJ,ジブチ,Africa
🇯🇲,JM,#ジャマイカ,America
🇬🇪,GE,ジョージア,Asia
🇸🇾,SY,シリア,Asia
🇸🇬,SG,#シンガポール,Asia
🇿🇼,ZW,ジンバブエ,Africa
🇨🇭,CH,スイス,Europe
🇸🇪,SE,スウェーデン,Europe
🇸🇩,SD,スーダン,Africa
🇪🇸,ES,スペイン,Europe
🇸🇷,SR,スリナム,America
🇱🇰,LK,スリランカ,Asia
🇸🇰,SK,スロバキア,Europe
🇸🇮,SI,スロベニア,Europe
🇸🇨,SC,#セーシェル,Africa
🇬🇶,GQ,ギニア,Africa
🇸🇳,SN,セネガル,Africa
🇷🇸,RS,セルビア,Europe
🇰🇳,KN,#セントクリストファー・ネイビス,America
🇻🇨,VC,#セントビンセント・グレナディーン,America
🇱🇨,LC,#セントルシア,America
🇸🇴,SO,ソマリア,Africa
🇸🇧,SB,ソロモン諸島,Oceania
🇹🇭,TH,タイ,Asia
🇹🇯,TJ,タジキスタン,Asia
🇹🇿,TZ,タンザニア,Africa
🇨🇿,CZ,チェコ,Europe
🇹🇩,TD,チャド,Africa
🇨🇫,CF,中央アフリカ共和国,Africa
🇨🇳,CN,中国,Asia
🇹🇼,TW,台湾,Asia
🇹🇳,TN,チュニジア,Africa
🇨🇱,CL,チリ,America
🇹🇻,TV,#ツバル,Oceania
🇩🇰,DK,デンマーク,Europe
🇩🇪,DE,ドイツ,Europe
🇹🇬,TG,トーゴ,Africa
🇩🇴,DO,ドミニカ共和国,America
🇩🇲,DM,#ドミニカ国,America
🇹🇹,TT,#トリニダード・トバゴ,America
🇹🇲,TM,トルクメニスタン,Asia
🇹🇷,TR,トルコ,Asia
🇹🇴,TO,#トンガ,Oceania
🇳🇬,NG,ナイジェリア,Africa
🇳🇷,NR,#ナウル,Oceania
🇳🇦,NA,ナミビア,Africa
🇳🇺,NU,#ニウエ,Oceania
🇳🇮,NI,ニカラグア,America
🇳🇪,NE,ニジェール,Africa
🇪🇭,EH,西サハラ,Africa
🇯🇵,JP,日本,Asia
🇳🇿,NZ,ニュージーランド,Oceania
🇳🇵,NP,ネパール,Asia
🇳🇴,NO,ノルウェー,Europe
🇧🇭,BH,#バーレーン,Asia
🇭🇹,HT,ハイチ,America
🇵🇰,PK,パキスタン,Asia
🇻🇦,VA,#バチカン,Europe
🇵🇦,PA,パナマ,America
🇻🇺,VU,#バヌアツ,Oceania
🇧🇸,BS,#バハマ,America
🇵🇬,PG,パプアニューギニア,Oceania
🇵🇼,PW,#パラオ,Oceania
🇵🇾,PY,パラグアイ,America
🇧🇧,BB,#バルバドス,America
🇵🇸,PS,#パレスチナ,Asia
🇭🇺,HU,ハンガリー,Europe
🇧🇩,BD,バングラデシュ,Asia
🇹🇱,TL,#東ティモール,Asia
🇫🇯,FJ,#フィジー,Oceania
🇵🇭,PH,フィリピン,Asia
🇫🇮,FI,フィンランド,Europe
🇧🇹,BT,ブータン,Asia
🇧🇷,BR,ブラジル,America
🇫🇷,FR,フランス,Europe
🇧🇬,BG,ブルガリア,Europe
🇧🇫,BF,ブルキナファソ,Africa
🇧🇳,BN,#ブルネイ,Asia
🇧🇮,BI,ブルンジ,Africa
🇻🇳,VN,ベトナム,Asia
🇧🇯,BJ,ベナン,Africa
🇻🇪,VE,ベネズエラ,America
🇧🇾,BY,ベラルーシ,Europe
🇧🇿,BZ,ベリーズ,America
🇵🇪,PE,ペルー,America
🇧🇪,BE,ベルギー,Europe
🇵🇱,PL,ポーランド,Europe
🇧🇦,BA,ボスニア・ヘルツェゴビナ,Europe
🇧🇼,BW,ボツワナ,Africa
🇧🇴,BO,ボリビア,America
🇵🇹,PT,ポルトガル,Europe
🇭🇳,HN,ホンジュラス,America
🇲🇭,MH,#マーシャル諸島,Oceania
🇲🇬,MG,マダガスカル,Africa
🇲🇼,MW,マラウイ,Africa
🇲🇱,ML,マリ,Africa
🇲🇹,MT,#マルタ,Europe
🇲🇾,MY,マレーシア,Asia
🇫🇲,FM,#ミクロネシア連邦,Oceania
🇿🇦,ZA,南アフリカ共和国,Africa
🇸🇸,SS,南スーダン,Africa
🇲🇲,MM,ミャンマー,Asia
🇲🇽,MX,メキシコ,America
🇲🇺,MU,#モーリシャス,Africa
🇲🇷,MR,モーリタニア,Africa
🇲🇿,MZ,モザンビーク,Africa
🇲🇨,MC,#モナコ,Europe
🇲🇻,MV,#モルディブ,Asia
🇲🇩,MD,モルドバ,Europe
🇲🇦,MA,モロッコ,Africa
🇲🇳,MN,モンゴル,Asia
🇲🇪,ME,#モンテネグロ,Europe
🇯🇴,JO,ヨルダン,Asia
🇱🇦,LA,ラオス,Asia
🇱🇻,LV,ラトビア,Europe
🇱🇹,LT,リトアニア,Europe
🇱🇾,LY,リビア,Africa
🇱🇮,LI,#リヒテンシュタイン,Europe
🇱🇷,LR,リベリア,Africa
🇷🇴,RO,ルーマニア,Europe
🇱🇺,LU,#ルクセンブルク,Europe
🇷🇼,RW,ルワンダ,Africa
🇱🇸,LS,レソト,Africa
🇱🇧,LB,#レバノン,Asia
🇷🇺,RU,ロシア,Europe